city_name,city_id,lat,lng,city_temp,city_hum,cloudiness,city_wind,url
Dhidhdhoo,1337612,7.4449475,72.345184,82.87,100,68,7.4,http://api.openweathermap.org/data/2.5/weather?lat=7.4449475&lon=72.345184&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Waterfall,941812,-29.317115,30.857684,56,99,92,2.71,http://api.openweathermap.org/data/2.5/weather?lat=-29.317115&lon=30.857684&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Snow Hill,4492329,35.4317225,-77.713598,52.99,66,1,4.7,http://api.openweathermap.org/data/2.5/weather?lat=35.4317225&lon=-77.713598&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Andovoranto,1076227,-19.7018275,50.136859,82.46,97,92,9.64,http://api.openweathermap.org/data/2.5/weather?lat=-19.7018275&lon=50.136859&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Utrik,7306518,12.0676775,170.053641,78.55,100,80,22.5,http://api.openweathermap.org/data/2.5/weather?lat=12.0676775&lon=170.053641&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Vaennaes,2665093,63.8553275,19.529978,31.87,90,90,10.29,http://api.openweathermap.org/data/2.5/weather?lat=63.8553275&lon=19.529978&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Töysä,634009,62.571419,23.862858,30.2,92,75,6.93,http://api.openweathermap.org/data/2.5/weather?lat=62.571419&lon=23.862858&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Yuli,1529001,41.101532,85.859717,15.68,73,48,2.71,http://api.openweathermap.org/data/2.5/weather?lat=41.101532&lon=85.859717&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Olonkinbyen,7535941,70.3799115,-5.716992,35.35,100,64,17.69,http://api.openweathermap.org/data/2.5/weather?lat=70.3799115&lon=-5.716992&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Hayma,287939,19.9463105,56.409958,59.11,69,0,4.94,http://api.openweathermap.org/data/2.5/weather?lat=19.9463105&lon=56.409958&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Wanaaring,2144817,-30.200707,143.738974,70.36,41,0,5.95,http://api.openweathermap.org/data/2.5/weather?lat=-30.200707&lon=143.738974&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Mataranka,2066808,-14.780693,133.956464,82.91,55,12,9.86,http://api.openweathermap.org/data/2.5/weather?lat=-14.780693&lon=133.956464&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Lae,7306517,9.067431,166.506019,83.86,100,68,23.06,http://api.openweathermap.org/data/2.5/weather?lat=9.067431&lon=166.506019&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Newport,5804694,48.2531695,-117.236981,28.87,74,1,10.29,http://api.openweathermap.org/data/2.5/weather?lat=48.2531695&lon=-117.236981&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Wilaya de Ghardaïa,2496045,31.247251,3.592148,57.8,40,0,9.98,http://api.openweathermap.org/data/2.5/weather?lat=31.247251&lon=3.592148&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Lautoka,2204506,-17.1706745,176.585091,78.1,100,92,10.54,http://api.openweathermap.org/data/2.5/weather?lat=-17.1706745&lon=176.585091&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Joes,5426615,39.6393795,-102.937918,51.8,17,1,28.86,http://api.openweathermap.org/data/2.5/weather?lat=39.6393795&lon=-102.937918&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Brownings Landing,5909847,61.1898775,-119.328423,12.8,89,56,3.71,http://api.openweathermap.org/data/2.5/weather?lat=61.1898775&lon=-119.328423&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Lumpkin,4207128,32.121695,-84.774564,60.04,28,1,6.93,http://api.openweathermap.org/data/2.5/weather?lat=32.121695&lon=-84.774564&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Buhama,2045397,41.627419,138.285001,32.92,100,36,39.62,http://api.openweathermap.org/data/2.5/weather?lat=41.627419&lon=138.285001&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Mago,2123621,53.302968,139.549224,13.57,69,88,13.56,http://api.openweathermap.org/data/2.5/weather?lat=53.302968&lon=139.549224&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
North Eastern Province,400745,0.0975925,40.623226,82.24,40,0,7.96,http://api.openweathermap.org/data/2.5/weather?lat=0.0975925&lon=40.623226&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Tabwakea Village,7521902,2.302083,-158.516848,79.99,100,92,18.48,http://api.openweathermap.org/data/2.5/weather?lat=2.302083&lon=-158.516848&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
San Lorenzo,3616708,12.2326725,-85.657411,83.37,42,40,6.93,http://api.openweathermap.org/data/2.5/weather?lat=12.2326725&lon=-85.657411&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Mehran,124291,32.963861,46.571952,36.65,76,0,2.37,http://api.openweathermap.org/data/2.5/weather?lat=32.963861&lon=46.571952&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Paka,1734313,5.208461,104.212875,80.93,100,24,7.85,http://api.openweathermap.org/data/2.5/weather?lat=5.208461&lon=104.212875&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Bourke,7839701,-30.428690,145.151856,68.92,55,0,3.38,http://api.openweathermap.org/data/2.5/weather?lat=-30.428690&lon=145.151856&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Khimik,550284,59.097236,52.827830,-7.27,76,12,7.96,http://api.openweathermap.org/data/2.5/weather?lat=59.097236&lon=52.827830&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Gregg County,4695143,32.6438295,-94.752706,72.19,17,0,8.05,http://api.openweathermap.org/data/2.5/weather?lat=32.6438295&lon=-94.752706&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
San José,3616781,11.9757915,-86.704673,84.2,48,40,9.17,http://api.openweathermap.org/data/2.5/weather?lat=11.9757915&lon=-86.704673&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Port-Vila,2135171,-17.448687,167.320867,80.75,100,92,11.99,http://api.openweathermap.org/data/2.5/weather?lat=-17.448687&lon=167.320867&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Región de Magallanes y de la Antártica Chilena,4036650,-52.6197485,-72.213116,44.75,100,92,10.98,http://api.openweathermap.org/data/2.5/weather?lat=-52.6197485&lon=-72.213116&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Nkwerre,2328790,5.7195705,7.142102,83.18,64,68,10.65,http://api.openweathermap.org/data/2.5/weather?lat=5.7195705&lon=7.142102&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
La Loche,6048854,56.609487,-109.626514,28.46,83,0,5.17,http://api.openweathermap.org/data/2.5/weather?lat=56.609487&lon=-109.626514&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Princeton,5042360,45.524681,-93.513032,34.16,69,90,20.8,http://api.openweathermap.org/data/2.5/weather?lat=45.524681&lon=-93.513032&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Aktogay,1526573,48.072246,76.398632,-5.47,53,0,2.93,http://api.openweathermap.org/data/2.5/weather?lat=48.072246&lon=76.398632&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Sali,3191335,43.653390,14.489651,61.58,90,56,22.84,http://api.openweathermap.org/data/2.5/weather?lat=43.653390&lon=14.489651&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Mwene-Ditu,207570,-7.0467865,23.331149,72.43,89,68,2.15,http://api.openweathermap.org/data/2.5/weather?lat=-7.0467865&lon=23.331149&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Isafjoerdur,3415667,66.7419685,-21.170357,34.09,100,20,15.79,http://api.openweathermap.org/data/2.5/weather?lat=66.7419685&lon=-21.170357&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Muara Siberut,1214451,-2.513598,99.319319,83.36,100,88,8.75,http://api.openweathermap.org/data/2.5/weather?lat=-2.513598&lon=99.319319&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Teploklyuchenka,1527232,42.2623305,79.144043,-12.72,52,24,0.92,http://api.openweathermap.org/data/2.5/weather?lat=42.2623305&lon=79.144043&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Jabor,2080422,6.7388085,170.108454,82.33,100,56,16.35,http://api.openweathermap.org/data/2.5/weather?lat=6.7388085&lon=170.108454&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Alekseyevskaya,2027911,57.693290,108.382548,-41.61,0,0,2.59,http://api.openweathermap.org/data/2.5/weather?lat=57.693290&lon=108.382548&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Kabara,2456013,15.985114,-2.684308,70.63,55,32,2.37,http://api.openweathermap.org/data/2.5/weather?lat=15.985114&lon=-2.684308&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Mould Bay,6079446,76.6460045,-115.242029,4.61,88,64,18.92,http://api.openweathermap.org/data/2.5/weather?lat=76.6460045&lon=-115.242029&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Al Aqir,79967,14.703759,45.866580,36.11,42,0,2.37,http://api.openweathermap.org/data/2.5/weather?lat=14.703759&lon=45.866580&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Amby,2177960,-26.5537315,148.198606,66.58,72,0,10.31,http://api.openweathermap.org/data/2.5/weather?lat=-26.5537315&lon=148.198606&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Appikalo,3384728,1.2365855,-57.177491,92.36,48,20,3.6,http://api.openweathermap.org/data/2.5/weather?lat=1.2365855&lon=-57.177491&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Lash,1120484,35.222013,64.956861,7.27,65,0,2.04,http://api.openweathermap.org/data/2.5/weather?lat=35.222013&lon=64.956861&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Provincia de Mendoza,3844419,-34.4861105,-69.356123,38.59,84,8,1.36,http://api.openweathermap.org/data/2.5/weather?lat=-34.4861105&lon=-69.356123&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Gadarwara,1271847,23.0086905,78.880747,58.12,66,0,3.71,http://api.openweathermap.org/data/2.5/weather?lat=23.0086905&lon=78.880747&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Port-Vila,2135171,-17.874843,167.447093,80.3,100,92,10.87,http://api.openweathermap.org/data/2.5/weather?lat=-17.874843&lon=167.447093&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Youshan,1917513,25.361484,114.502055,40.84,63,64,3.6,http://api.openweathermap.org/data/2.5/weather?lat=25.361484&lon=114.502055&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Malaut,1264138,30.194681,74.413866,56.59,99,92,7.96,http://api.openweathermap.org/data/2.5/weather?lat=30.194681&lon=74.413866&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Sorong,1626542,-1.4547025,131.989763,73.33,95,68,2.04,http://api.openweathermap.org/data/2.5/weather?lat=-1.4547025&lon=131.989763&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Alberto Oviedo Mota,3979497,32.006680,-115.278643,67.39,40,80,8.75,http://api.openweathermap.org/data/2.5/weather?lat=32.006680&lon=-115.278643&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Golfo Arnaci,3176009,41.140710,10.699754,63.16,89,12,31,http://api.openweathermap.org/data/2.5/weather?lat=41.140710&lon=10.699754&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Mirnyy,2019951,62.7230685,113.298206,-25.23,38,56,4.27,http://api.openweathermap.org/data/2.5/weather?lat=62.7230685&lon=113.298206&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Underberg,945995,-29.802016,29.398881,50.74,93,76,2.71,http://api.openweathermap.org/data/2.5/weather?lat=-29.802016&lon=29.398881&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Bryanchitsy,629589,52.8606995,27.393948,34.85,93,44,11.21,http://api.openweathermap.org/data/2.5/weather?lat=52.8606995&lon=27.393948&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Xarlung,8059137,30.525210,92.446828,-1.92,39,0,5.61,http://api.openweathermap.org/data/2.5/weather?lat=30.525210&lon=92.446828&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Municipio Piar,3630283,6.388798,-62.177190,82.1,62,76,3.6,http://api.openweathermap.org/data/2.5/weather?lat=6.388798&lon=-62.177190&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Snezhnogorsk,1491600,68.4336205,85.580400,-3.54,77,76,9.19,http://api.openweathermap.org/data/2.5/weather?lat=68.4336205&lon=85.580400&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Oodnadatta,2064144,-27.476393,134.598263,65.86,55,0,2.59,http://api.openweathermap.org/data/2.5/weather?lat=-27.476393&lon=134.598263&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Jalal-Abad Oblasty,1529778,41.4467595,72.728401,16.27,72,0,3.27,http://api.openweathermap.org/data/2.5/weather?lat=41.4467595&lon=72.728401&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Lukulu,909488,-14.3705515,22.733957,66.98,97,92,5.95,http://api.openweathermap.org/data/2.5/weather?lat=-14.3705515&lon=22.733957&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Arctic Village,5879636,67.3998525,-147.301997,21.58,87,92,4.72,http://api.openweathermap.org/data/2.5/weather?lat=67.3998525&lon=-147.301997&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Lunda Norte Province,145702,-9.455651,18.663337,71.35,90,88,2.15,http://api.openweathermap.org/data/2.5/weather?lat=-9.455651&lon=18.663337&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Baykalovsk,1510695,71.806313,85.559718,2.32,88,80,11.32,http://api.openweathermap.org/data/2.5/weather?lat=71.806313&lon=85.559718&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Arta,2027457,50.5826375,111.652725,-29.91,0,0,3.04,http://api.openweathermap.org/data/2.5/weather?lat=50.5826375&lon=111.652725&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Kamenka,553609,65.736919,42.870350,28.28,84,88,8.52,http://api.openweathermap.org/data/2.5/weather?lat=65.736919&lon=42.870350&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Departamento de Loreto,3695238,-5.0405205,-74.618966,89.3,68,8,6.62,http://api.openweathermap.org/data/2.5/weather?lat=-5.0405205&lon=-74.618966&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Akulivik,5882994,60.529414,-80.600837,11.77,100,48,14.67,http://api.openweathermap.org/data/2.5/weather?lat=60.529414&lon=-80.600837&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Deputatskiy,2028164,69.6487635,138.720622,-39.09,0,24,3.04,http://api.openweathermap.org/data/2.5/weather?lat=69.6487635&lon=138.720622&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Moapa Town,5508470,36.761806,-114.763819,46.4,16,1,4.16,http://api.openweathermap.org/data/2.5/weather?lat=36.761806&lon=-114.763819&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Outaouais,6095306,46.389556,-76.894603,6.8,65,75,3.49,http://api.openweathermap.org/data/2.5/weather?lat=46.389556&lon=-76.894603&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Unaaha,1974329,-4.0904675,121.517748,75.8,98,64,2.15,http://api.openweathermap.org/data/2.5/weather?lat=-4.0904675&lon=121.517748&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Dolneni,791363,41.372552,21.419014,30.2,86,0,1.12,http://api.openweathermap.org/data/2.5/weather?lat=41.372552&lon=21.419014&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Aripuana,3665202,-10.2816485,-59.999879,75.67,97,92,5.73,http://api.openweathermap.org/data/2.5/weather?lat=-10.2816485&lon=-59.999879&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Dikson,1507390,73.1298975,83.994379,-4.75,67,56,11.65,http://api.openweathermap.org/data/2.5/weather?lat=73.1298975&lon=83.994379&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
New Waterford,6087843,46.5947445,-59.985892,33.8,74,90,5.82,http://api.openweathermap.org/data/2.5/weather?lat=46.5947445&lon=-59.985892&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Ust-Kuyga,2013921,69.5000465,133.336377,-44.22,0,44,3.15,http://api.openweathermap.org/data/2.5/weather?lat=69.5000465&lon=133.336377&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Jiangti,7904809,30.4906535,114.200655,39.2,60,0,4.47,http://api.openweathermap.org/data/2.5/weather?lat=30.4906535&lon=114.200655&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Stantsionnyy,839646,44.489004,39.440081,39.2,80,20,6.71,http://api.openweathermap.org/data/2.5/weather?lat=44.489004&lon=39.440081&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Yagodnoye,2119625,65.878309,169.731323,-17.35,74,24,3.94,http://api.openweathermap.org/data/2.5/weather?lat=65.878309&lon=169.731323&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Ban Nong Thale,1614968,12.996238,100.126229,80.89,100,0,10.87,http://api.openweathermap.org/data/2.5/weather?lat=12.996238&lon=100.126229&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Cheching (historical),5859033,59.760231,-164.741637,23,92,90,24.16,http://api.openweathermap.org/data/2.5/weather?lat=59.760231&lon=-164.741637&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Clyde River,5924351,69.6925845,-65.651695,10.96,96,76,23.51,http://api.openweathermap.org/data/2.5/weather?lat=69.6925845&lon=-65.651695&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Oodnadatta,2064144,-27.500693,136.424051,70.54,34,0,8.3,http://api.openweathermap.org/data/2.5/weather?lat=-27.500693&lon=136.424051&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Kavumu,213632,-2.051320,27.950223,66.08,98,44,2.71,http://api.openweathermap.org/data/2.5/weather?lat=-2.051320&lon=27.950223&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Wotho,7306529,10.3847175,165.894246,83.14,100,92,23.85,http://api.openweathermap.org/data/2.5/weather?lat=10.3847175&lon=165.894246&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Anadyr,2127202,64.4261645,177.135787,-9.41,76,0,6.71,http://api.openweathermap.org/data/2.5/weather?lat=64.4261645&lon=177.135787&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Puerto Carreno,3671519,6.065900,-67.637990,91.4,52,40,13.87,http://api.openweathermap.org/data/2.5/weather?lat=6.065900&lon=-67.637990&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Derrybeg,2964817,55.962213,-9.324716,49.39,100,88,24.29,http://api.openweathermap.org/data/2.5/weather?lat=55.962213&lon=-9.324716&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Nunavut,6091732,71.121865,-88.334463,-3.99,64,36,14.34,http://api.openweathermap.org/data/2.5/weather?lat=71.121865&lon=-88.334463&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Taniwel,1625027,-2.4250885,128.725877,84.8,100,44,4.72,http://api.openweathermap.org/data/2.5/weather?lat=-2.4250885&lon=128.725877&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
As Sahbā’,407308,24.4783655,48.233207,40.66,40,0,2.93,http://api.openweathermap.org/data/2.5/weather?lat=24.4783655&lon=48.233207&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Filingue,2444995,14.5762725,3.141738,70.72,38,0,3.94,http://api.openweathermap.org/data/2.5/weather?lat=14.5762725&lon=3.141738&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Hay River,5972762,61.0007225,-115.152816,15.8,92,75,9.17,http://api.openweathermap.org/data/2.5/weather?lat=61.0007225&lon=-115.152816&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Ostrovnoy,556268,66.9734465,41.384805,30.98,100,88,19.26,http://api.openweathermap.org/data/2.5/weather?lat=66.9734465&lon=41.384805&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Sayulita,3983210,20.634179,-106.252582,81.34,96,76,15.68,http://api.openweathermap.org/data/2.5/weather?lat=20.634179&lon=-106.252582&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Tanintharyi Division,1293118,12.9403655,99.253789,73.15,88,36,1.14,http://api.openweathermap.org/data/2.5/weather?lat=12.9403655&lon=99.253789&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Bungkap,1647639,-1.917531,111.528661,72.11,97,76,2.71,http://api.openweathermap.org/data/2.5/weather?lat=-1.917531&lon=111.528661&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Issyk-Kul’skaya Oblast’,1528260,41.4540045,78.427103,-7.68,52,56,1.59,http://api.openweathermap.org/data/2.5/weather?lat=41.4540045&lon=78.427103&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Kaputa,176758,-8.898557,29.569750,68.56,100,80,2.82,http://api.openweathermap.org/data/2.5/weather?lat=-8.898557&lon=29.569750&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
La Uruguaya,3654832,-2.301219,-79.772933,87.8,52,20,10.29,http://api.openweathermap.org/data/2.5/weather?lat=-2.301219&lon=-79.772933&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Donglin,1921142,23.354004,117.983143,64.01,100,92,31.23,http://api.openweathermap.org/data/2.5/weather?lat=23.354004&lon=117.983143&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Qobustan,585223,40.030433,49.504808,48.2,87,75,19.46,http://api.openweathermap.org/data/2.5/weather?lat=40.030433&lon=49.504808&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Lampedusa e Linosa,6542197,35.8147535,12.425647,62.6,59,0,19.46,http://api.openweathermap.org/data/2.5/weather?lat=35.8147535&lon=12.425647&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Limulunga,910361,-14.881285,23.038695,68.06,96,88,9.75,http://api.openweathermap.org/data/2.5/weather?lat=-14.881285&lon=23.038695&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Estado de Baja California Sur,4017698,25.596786,-111.806120,73.4,53,75,8.05,http://api.openweathermap.org/data/2.5/weather?lat=25.596786&lon=-111.806120&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Wanghu,1792068,39.732950,113.967905,4.75,66,44,2.59,http://api.openweathermap.org/data/2.5/weather?lat=39.732950&lon=113.967905&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Candido Mendes,3403395,-1.709628,-45.739619,87.46,64,76,11.77,http://api.openweathermap.org/data/2.5/weather?lat=-1.709628&lon=-45.739619&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Walthourville,4229357,31.8212245,-81.711136,59.27,36,1,9.17,http://api.openweathermap.org/data/2.5/weather?lat=31.8212245&lon=-81.711136&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Beru,7521586,-1.2590065,175.572606,81.07,100,88,9.64,http://api.openweathermap.org/data/2.5/weather?lat=-1.2590065&lon=175.572606&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Dongying,1812101,37.708206,119.152440,30.94,100,24,8.75,http://api.openweathermap.org/data/2.5/weather?lat=37.708206&lon=119.152440&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Aral,1526265,47.6906345,61.781877,0.56,64,32,3.04,http://api.openweathermap.org/data/2.5/weather?lat=47.6906345&lon=61.781877&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Aydincik,322826,36.118459,33.172747,56.36,99,0,3.04,http://api.openweathermap.org/data/2.5/weather?lat=36.118459&lon=33.172747&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Serranos,3447711,-21.8554965,-44.605752,81.52,44,80,3.6,http://api.openweathermap.org/data/2.5/weather?lat=-21.8554965&lon=-44.605752&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Mbuji-Mayi,209228,-6.4017035,23.605947,72.34,100,88,1.92,http://api.openweathermap.org/data/2.5/weather?lat=-6.4017035&lon=23.605947&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Ungurtas,1517733,43.3576035,76.075565,8.3,70,24,1.36,http://api.openweathermap.org/data/2.5/weather?lat=43.3576035&lon=76.075565&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Grytviken,3426466,-53.609277,-38.402528,38.45,97,92,15.23,http://api.openweathermap.org/data/2.5/weather?lat=-53.609277&lon=-38.402528&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Ronneby,2681825,56.1973545,15.187743,35.6,93,75,5.82,http://api.openweathermap.org/data/2.5/weather?lat=56.1973545&lon=15.187743&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Maroa,3632867,2.9385385,-66.945519,97.36,42,12,2.15,http://api.openweathermap.org/data/2.5/weather?lat=2.9385385&lon=-66.945519&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
